127.0.0.1 - - [10/Nov/2024:09:06:32 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:06:32 +0700] "GET /bookingTour/register.jsp HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:06:33 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:06:38 +0700] "GET /bookingTour/register.jsp HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:07:46 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:07:46 +0700] "GET /bookingTour/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:07:46 +0700] "GET /bookingTour/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:07:49 +0700] "GET /bookingTour/register.jsp HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:07:52 +0700] "GET /bookingTour/login.jsp HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:08:02 +0700] "POST /bookingTour/do-login HTTP/1.1" 500 1377
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:08:09 +0700] "POST /bookingTour/do-login HTTP/1.1" 500 1377
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:08:51 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6209
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:08:57 +0700] "GET /bookingTour/profile.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:09:02 +0700] "GET /bookingTour/do-logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:09:02 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:09:12 +0700] "GET /bookingTour/profile.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:09:16 +0700] "GET /bookingTour/do-logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:09:16 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:09:18 +0700] "GET /bookingTour/login.jsp HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:10:47 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6204
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:10:51 +0700] "GET /bookingTour/profile.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:18:52 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6293
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:19:20 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6311
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:20:18 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6292
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:22:51 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6578
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:24:29 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:25:13 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:25:17 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:25:51 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6294
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:28:12 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6294
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:30:26 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6999
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:30:36 +0700] "GET /bookingTour/profile.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:32:46 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:45:55 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:45:59 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:46:18 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:46:27 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6446
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:47:03 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:48:01 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:48:04 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:48:12 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6457
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:48:23 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6457
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:48:27 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6457
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:48:34 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:50:08 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:58:31 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6304
0:0:0:0:0:0:0:1 - - [10/Nov/2024:09:59:10 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6304
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:00:54 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:00:57 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:01:03 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:01:23 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:02:23 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:02:36 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:03:06 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6331
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:03:26 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6326
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:03:44 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6356
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:04:45 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6326
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:04:53 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6336
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:08:52 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6336
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:09:07 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6330
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:09:18 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6330
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:09:52 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:10:06 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6309
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:42:34 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:42:34 +0700] "GET /bookingTour/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:43:01 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:43:19 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6431
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:43:27 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6431
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:43:44 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6431
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:27 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6431
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:52:22 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6266
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:54:35 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6262
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:56:26 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6263
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:56:38 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6270
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:56:44 +0700] "POST /bookingTour/do-login HTTP/1.1" 200 6270
